id,数据类,pH,SS（块状）,SS（纤维）,SS（絮状）,COD,Cl-,SO42-,N-NH3,N-NO3,TP,含油量,重金属,温度,色度,TN,TDS（600℃）,Cond,可生化性
1,进水,6.6,16.9,46.8,30.9,14308.5,140.3,2724.5,2576.7,690.6,46.2,72.5,3.0,33.0,702.1,4284.0,9213.1,15147.1,85.7
1,机器预测出水,6.7,16.9,46.8,30.9,1442.2,140.7,2724.5,2576.7,690.6,46.2,72.4,3.0,33.1,702.1,4284.0,9213.1,15147.1,64.5
1,专家反馈出水,6.7,16.9,46.8,30.9,1442.2,140.7,2724.5,2576.7,690.6,46.2,72.4,3.0,33.1,702.1,4284.0,9213.1,15147.1,64.5
1,误差%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,进水,6.6,15.4,5.6,19.2,14403.3,852.2,178.0,683.1,711.8,181.3,8.1,1.3,34.3,45.3,5679.8,8413.4,12669.7,94.2
2,机器预测出水,6.7,3.0,25.9,41.0,479.6,573.97,399.5,2007.36,697.92,0.0,7.7,1.1,28.3,97.8,4738.59,7902.4,9711.3,54.63
2,专家反馈出水,6.7,15.4,5.6,19.2,1451.8,851.4,178.0,683.1,711.8,181.2,8.1,1.3,34.4,45.3,5679.8,8413.4,12669.7,72.2
2,误差%,0.0,80.51,362.44,113.54,66.97,32.59,124.44,193.86,1.95,100.0,4.94,15.37,17.73,115.89,16.57,6.07,23.35,24.33
3,进水,7.2,3.0,25.9,41.0,4802.8,574.3,399.5,2033.2,2526.1,123.3,7.7,1.1,28.2,97.8,5386.3,7902.4,9711.3,74.8
3,机器预测出水,6.13,34.1,21.4,5.5,2546.25,1633.0,38.8,1647.03,0.0,160.64,66.21,3.6,27.29,309.5,3406.9,3355.6,16917.7,64.58
3,专家反馈出水,7.2,3.0,25.9,41.0,484.1,574.0,399.5,2034.2,2526.0,123.4,7.6,1.1,28.2,97.8,5386.3,7902.4,9711.3,54.6
3,误差%,14.86,1036.32,17.37,86.58,425.98,184.49,90.29,19.03,100.0,30.18,771.08,227.07,3.23,216.46,36.75,57.54,74.21,18.28
4,进水,6.5,34.1,21.4,5.5,25261.7,1635.1,38.8,1089.7,527.0,160.9,66.3,3.6,27.3,309.5,3406.9,3355.6,16917.7,85.8
4,机器预测出水,6.46,46.6,18.6,14.1,1414.98,2468.4,1464.7,2383.41,1339.63,69.7,7.45,1.4,25.87,514.6,3826.8,5197.4,16533.7,65.86
4,专家反馈出水,6.6,34.1,21.4,5.5,2546.2,1633.0,38.8,1087.0,526.9,160.7,66.2,3.6,27.3,309.5,3406.9,3355.6,16917.7,64.6
4,误差%,2.12,36.66,13.08,156.34,44.43,51.16,3674.91,119.26,154.25,56.63,88.74,61.09,5.24,66.27,12.32,54.89,2.27,1.95
5,进水,6.3,46.6,18.6,14.1,14038.3,2471.9,1464.7,2384.2,1339.7,69.7,7.5,1.4,25.9,514.6,3826.8,5197.4,16533.7,87.2
5,机器预测出水,7.74,13.8,32.7,18.0,598.75,1523.88,1418.8,1342.99,2049.13,5.65,42.31,2.7,35.62,572.6,5292.7,3544.2,6053.7,70.86
5,专家反馈出水,6.4,46.6,18.6,14.1,1415.0,2468.4,1464.7,2383.4,1339.6,69.7,7.4,1.4,25.9,514.6,3826.8,5197.4,16533.7,65.9
5,误差%,20.93,70.38,75.8,27.66,57.69,38.26,3.13,43.65,52.97,91.89,471.69,92.79,37.53,11.27,38.31,31.81,63.39,7.53
6,进水,7.8,13.8,32.7,18.0,5940.1,1525.8,1418.8,1342.8,2049.2,5.5,42.4,2.7,35.5,572.6,5292.7,3544.2,6053.7,92.7
6,机器预测出水,7.71,13.8,32.7,18.0,598.77,1523.89,1418.8,1343.0,2049.12,5.62,42.31,2.7,35.61,572.6,5292.7,3544.2,6053.7,70.87
6,专家反馈出水,7.7,13.8,32.7,18.0,598.8,1523.9,1418.8,1343.0,2049.1,5.6,42.3,2.7,35.6,572.6,5292.7,3544.2,6053.7,70.9
6,误差%,0.13,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.36,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.04
