id,输入输出类,pH,SS（块状）,SS（纤维）,SS（絮状）,COD,Cl-,SO42-,N-NH3,N-NO3,TP,含油量,重金属,温度,色度,TN,TDS（600℃）,Cond,可生化性
1,进水,6.5,7.2,34.4,16.7,6561.4,374.7,2220.1,2324.4,1043.0,171.7,84.3,2.3,30.2,720.6,4441.9,7324.2,18402.2,72.5
1,出水,6.5,7.2,34.4,16.7,661.4,374.7,2220.1,2324.4,1043.0,171.7,84.3,2.3,30.2,720.6,4441.9,7324.2,18402.2,52.5
2,进水,7.0,22.9,28.0,12.5,28388.8,718.6,544.8,979.3,1033.1,71.9,49.2,0.0,32.9,793.6,5294.4,8968.8,9960.6,94.5
2,出水,7.0,22.9,28.0,12.5,2861.4,718.0,544.8,979.0,1033.0,71.7,49.0,0.0,33.0,793.6,5294.4,8968.8,9960.6,72.5
3,进水,6.6,16.9,46.8,30.9,14308.5,140.3,2724.5,2576.7,690.6,46.2,72.5,3.0,33.0,702.1,4284.0,9213.1,15147.1,85.7
3,出水,6.7,16.9,46.8,30.9,1442.2,140.7,2724.5,2576.7,690.6,46.2,72.4,3.0,33.1,702.1,4284.0,9213.1,15147.1,64.5
4,进水,6.6,15.4,5.6,19.2,14403.3,852.2,178.0,683.1,711.8,181.3,8.1,1.3,34.3,45.3,5679.8,8413.4,12669.7,94.2
4,出水,6.7,15.4,5.6,19.2,1451.8,851.4,178.0,683.1,711.8,181.2,8.1,1.3,34.4,45.3,5679.8,8413.4,12669.7,72.2
5,进水,7.2,3.0,25.9,41.0,4802.8,574.3,399.5,2033.2,2526.1,123.3,7.7,1.1,28.2,97.8,5386.3,7902.4,9711.3,74.8
5,出水,7.2,3.0,25.9,41.0,484.1,574.0,399.5,2034.2,2526.0,123.4,7.6,1.1,28.2,97.8,5386.3,7902.4,9711.3,54.6
6,进水,6.5,34.1,21.4,5.5,25261.7,1635.1,38.8,1089.7,527.0,160.9,66.3,3.6,27.3,309.5,3406.9,3355.6,16917.7,85.8
6,出水,6.6,34.1,21.4,5.5,2546.2,1633.0,38.8,1087.0,526.9,160.7,66.2,3.6,27.3,309.5,3406.9,3355.6,16917.7,64.6
7,进水,6.3,46.6,18.6,14.1,14038.3,2471.9,1464.7,2384.2,1339.7,69.7,7.5,1.4,25.9,514.6,3826.8,5197.4,16533.7,87.2
7,出水,6.4,46.6,18.6,14.1,1415.0,2468.4,1464.7,2383.4,1339.6,69.7,7.4,1.4,25.9,514.6,3826.8,5197.4,16533.7,65.9
